name,index,row,column,x,y,width,height
+1,0,0,0,0,0,64,64
+2,1,0,1,64,0,64,64
+3,2,0,2,128,0,64,64
Copper Sword,3,1,0,0,64,64,64
Copper Shield,4,1,1,64,64,64,64
Copper Ring,5,1,2,128,64,64,64
Copper Amulet,6,1,3,192,64,64,64
Copper Relic,7,1,4,256,64,64,64
Copper Helm,8,1,5,320,64,64,64
Copper Chest,9,1,6,384,64,64,64
Copper Gloves,10,1,7,448,64,64,64
Copper Leggings,11,1,8,512,64,64,64
Copper Boots,12,1,9,576,64,64,64
Iron Sword,13,2,0,0,128,64,64
Iron Shield,14,2,1,64,128,64,64
Iron Ring,15,2,2,128,128,64,64
Iron Amulet,16,2,3,192,128,64,64
Iron Relic,17,2,4,256,128,64,64
Iron Helm,18,2,5,320,128,64,64
Iron Chest,19,2,6,384,128,64,64
Iron Gloves,20,2,7,448,128,64,64
Iron Leggings,21,2,8,512,128,64,64
Iron Boots,22,2,9,576,128,64,64
Silver Sword,23,3,0,0,192,64,64
Silver Shield,24,3,1,64,192,64,64
Silver Ring,25,3,2,128,192,64,64
Silver Amulet,26,3,3,192,192,64,64
Silver Relic,27,3,4,256,192,64,64
Silver Helm,28,3,5,320,192,64,64
Silver Chest,29,3,6,384,192,64,64
Silver Gloves,30,3,7,448,192,64,64
Silver Leggings,31,3,8,512,192,64,64
Silver Boots,32,3,9,576,192,64,64
Gold Sword,33,4,0,0,256,64,64
Gold Shield,34,4,1,64,256,64,64
Gold Ring,35,4,2,128,256,64,64
Gold Amulet,36,4,3,192,256,64,64
Gold Relic,37,4,4,256,256,64,64
Gold Helm,38,4,5,320,256,64,64
Gold Chest,39,4,6,384,256,64,64
Gold Gloves,40,4,7,448,256,64,64
Gold Leggings,41,4,8,512,256,64,64
Gold Boots,42,4,9,576,256,64,64
Mythril Sword,43,5,0,0,320,64,64
Mythril Shield,44,5,1,64,320,64,64
Mythril Ring,45,5,2,128,320,64,64
Mythril Amulet,46,5,3,192,320,64,64
Mythril Relic,47,5,4,256,320,64,64
Mythril Helm,48,5,5,320,320,64,64
Mythril Chest,49,5,6,384,320,64,64
Mythril Gloves,50,5,7,448,320,64,64
Mythril Leggings,51,5,8,512,320,64,64
Mythril Boots,52,5,9,576,320,64,64
Starsteel Sword,53,6,0,0,384,64,64
Starsteel Shield,54,6,1,64,384,64,64
Starsteel Ring,55,6,2,128,384,64,64
Starsteel Amulet,56,6,3,192,384,64,64
Starsteel Relic,57,6,4,256,384,64,64
Starsteel Helm,58,6,5,320,384,64,64
Starsteel Chest,59,6,6,384,384,64,64
Starsteel Gloves,60,6,7,448,384,64,64
Starsteel Leggings,61,6,8,512,384,64,64
Starsteel Boots,62,6,9,576,384,64,64
Obsidian Sword,63,7,0,0,448,64,64
Obsidian Shield,64,7,1,64,448,64,64
Obsidian Ring,65,7,2,128,448,64,64
Obsidian Amulet,66,7,3,192,448,64,64
Obsidian Relic,67,7,4,256,448,64,64
Obsidian Helm,68,7,5,320,448,64,64
Obsidian Chest,69,7,6,384,448,64,64
Obsidian Gloves,70,7,7,448,448,64,64
Obsidian Leggings,71,7,8,512,448,64,64
Obsidian Boots,72,7,9,576,448,64,64
Runite Sword,73,8,0,0,512,64,64
Runite Shield,74,8,1,64,512,64,64
Runite Ring,75,8,2,128,512,64,64
Runite Amulet,76,8,3,192,512,64,64
Runite Relic,77,8,4,256,512,64,64
Runite Helm,78,8,5,320,512,64,64
Runite Chest,79,8,6,384,512,64,64
Runite Gloves,80,8,7,448,512,64,64
Runite Leggings,81,8,8,512,512,64,64
Runite Boots,82,8,9,576,512,64,64
Dragonsteel Sword,83,9,0,0,576,64,64
Dragonsteel Shield,84,9,1,64,576,64,64
Dragonsteel Ring,85,9,2,128,576,64,64
Dragonsteel Amulet,86,9,3,192,576,64,64
Dragonsteel Relic,87,9,4,256,576,64,64
Dragonsteel Helm,88,9,5,320,576,64,64
Dragonsteel Chest,89,9,6,384,576,64,64
Dragonsteel Gloves,90,9,7,448,576,64,64
Dragonsteel Leggings,91,9,8,512,576,64,64
Dragonsteel Boots,92,9,9,576,576,64,64
Aethersteel Sword,93,10,0,0,640,64,64
Aethersteel Shield,94,10,1,64,640,64,64
Aethersteel Ring,95,10,2,128,640,64,64
Aethersteel Amulet,96,10,3,192,640,64,64
Aethersteel Relic,97,10,4,256,640,64,64
Aethersteel Helm,98,10,5,320,640,64,64
Aethersteel Chest,99,10,6,384,640,64,64
Aethersteel Gloves,100,10,7,448,640,64,64
Aethersteel Leggings,101,10,8,512,640,64,64
Aethersteel Boots,102,10,9,576,640,64,64
Voidiron Sword,103,11,0,0,704,64,64
Voidiron Shield,104,11,1,64,704,64,64
Voidiron Ring,105,11,2,128,704,64,64
Voidiron Amulet,106,11,3,192,704,64,64
Voidiron Relic,107,11,4,256,704,64,64
Voidiron Helm,108,11,5,320,704,64,64
Voidiron Chest,109,11,6,384,704,64,64
Voidiron Gloves,110,11,7,448,704,64,64
Voidiron Leggings,111,11,8,512,704,64,64
Voidiron Boots,112,11,9,576,704,64,64
Celestium Sword,113,12,0,0,768,64,64
Celestium Shield,114,12,1,64,768,64,64
Celestium Ring,115,12,2,128,768,64,64
Celestium Amulet,116,12,3,192,768,64,64
Celestium Relic,117,12,4,256,768,64,64
Celestium Helm,118,12,5,320,768,64,64
Celestium Chest,119,12,6,384,768,64,64
Celestium Gloves,120,12,7,448,768,64,64
Celestium Leggings,121,12,8,512,768,64,64
Celestium Boots,122,12,9,576,768,64,64
Bloodstone Sword,123,13,0,0,832,64,64
Bloodstone Shield,124,13,1,64,832,64,64
Bloodstone Ring,125,13,2,128,832,64,64
Bloodstone Amulet,126,13,3,192,832,64,64
Bloodstone Relic,127,13,4,256,832,64,64
Bloodstone Helm,128,13,5,320,832,64,64
Bloodstone Chest,129,13,6,384,832,64,64
Bloodstone Gloves,130,13,7,448,832,64,64
Bloodstone Leggings,131,13,8,512,832,64,64
Bloodstone Boots,132,13,9,576,832,64,64
Moonsteel Sword,133,14,0,0,896,64,64
Moonsteel Shield,134,14,1,64,896,64,64
Moonsteel Ring,135,14,2,128,896,64,64
Moonsteel Amulet,136,14,3,192,896,64,64
Moonsteel Relic,137,14,4,256,896,64,64
Moonsteel Helm,138,14,5,320,896,64,64
Moonsteel Chest,139,14,6,384,896,64,64
Moonsteel Gloves,140,14,7,448,896,64,64
Moonsteel Leggings,141,14,8,512,896,64,64
Moonsteel Boots,142,14,9,576,896,64,64
Sunforged Sword,143,15,0,0,960,64,64
Sunforged Shield,144,15,1,64,960,64,64
Sunforged Ring,145,15,2,128,960,64,64
Sunforged Amulet,146,15,3,192,960,64,64
Sunforged Relic,147,15,4,256,960,64,64
Sunforged Helm,148,15,5,320,960,64,64
Sunforged Chest,149,15,6,384,960,64,64
Sunforged Gloves,150,15,7,448,960,64,64
Sunforged Leggings,151,15,8,512,960,64,64
Sunforged Boots,152,15,9,576,960,64,64
Netherite Sword,153,16,0,0,1024,64,64
Netherite Shield,154,16,1,64,1024,64,64
Netherite Ring,155,16,2,128,1024,64,64
Netherite Amulet,156,16,3,192,1024,64,64
Netherite Relic,157,16,4,256,1024,64,64
Netherite Helm,158,16,5,320,1024,64,64
Netherite Chest,159,16,6,384,1024,64,64
Netherite Gloves,160,16,7,448,1024,64,64
Netherite Leggings,161,16,8,512,1024,64,64
Netherite Boots,162,16,9,576,1024,64,64
Stormglass Sword,163,17,0,0,1088,64,64
Stormglass Shield,164,17,1,64,1088,64,64
Stormglass Ring,165,17,2,128,1088,64,64
Stormglass Amulet,166,17,3,192,1088,64,64
Stormglass Relic,167,17,4,256,1088,64,64
Stormglass Helm,168,17,5,320,1088,64,64
Stormglass Chest,169,17,6,384,1088,64,64
Stormglass Gloves,170,17,7,448,1088,64,64
Stormglass Leggings,171,17,8,512,1088,64,64
Stormglass Boots,172,17,9,576,1088,64,64
Kingssteel Sword,173,18,0,0,1152,64,64
Kingssteel Shield,174,18,1,64,1152,64,64
Kingssteel Ring,175,18,2,128,1152,64,64
Kingssteel Amulet,176,18,3,192,1152,64,64
Kingssteel Relic,177,18,4,256,1152,64,64
Kingssteel Helm,178,18,5,320,1152,64,64
Kingssteel Chest,179,18,6,384,1152,64,64
Kingssteel Gloves,180,18,7,448,1152,64,64
Kingssteel Leggings,181,18,8,512,1152,64,64
Kingssteel Boots,182,18,9,576,1152,64,64
Eternium Sword,183,19,0,0,1216,64,64
Eternium Shield,184,19,1,64,1216,64,64
Eternium Ring,185,19,2,128,1216,64,64
Eternium Amulet,186,19,3,192,1216,64,64
Eternium Relic,187,19,4,256,1216,64,64
Eternium Helm,188,19,5,320,1216,64,64
Eternium Chest,189,19,6,384,1216,64,64
Eternium Gloves,190,19,7,448,1216,64,64
Eternium Leggings,191,19,8,512,1216,64,64
Eternium Boots,192,19,9,576,1216,64,64
Astralium Sword,193,20,0,0,1280,64,64
Astralium Shield,194,20,1,64,1280,64,64
Astralium Ring,195,20,2,128,1280,64,64
Astralium Amulet,196,20,3,192,1280,64,64
Astralium Relic,197,20,4,256,1280,64,64
Astralium Helm,198,20,5,320,1280,64,64
Astralium Chest,199,20,6,384,1280,64,64
Astralium Gloves,200,20,7,448,1280,64,64
Astralium Leggings,201,20,8,512,1280,64,64
Astralium Boots,202,20,9,576,1280,64,64
Gravite Sword,203,21,0,0,1344,64,64
Gravite Shield,204,21,1,64,1344,64,64
Gravite Ring,205,21,2,128,1344,64,64
Gravite Amulet,206,21,3,192,1344,64,64
Gravite Relic,207,21,4,256,1344,64,64
Gravite Helm,208,21,5,320,1344,64,64
Gravite Chest,209,21,6,384,1344,64,64
Gravite Gloves,210,21,7,448,1344,64,64
Gravite Leggings,211,21,8,512,1344,64,64
Gravite Boots,212,21,9,576,1344,64,64
Frostiron Sword,213,22,0,0,1408,64,64
Frostiron Shield,214,22,1,64,1408,64,64
Frostiron Ring,215,22,2,128,1408,64,64
Frostiron Amulet,216,22,3,192,1408,64,64
