index,row,column,x,y,width,height,icon_key,name,group,shared,usage_count,art_source,sha256_rgba
0,0,0,0,0,128,128,item.copper_ore,Copper Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,ebc23ac79eb40c4b68ba71573ce1a6c9364926900f8b45c24eb1e0953e007ade
1,0,1,128,0,128,128,item.iron_ore,Iron Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,2c36f41c5759a965749d730d5bbe44986bd3feff3eefcc57504df4987c56248b
2,0,2,256,0,128,128,item.silver_ore,Silver Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,84a15d2a2fbc79810e928ff9532c69af768243beacb0e7092b82d293152292d0
3,0,3,384,0,128,128,item.gold_ore,Gold Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,3e80f6e36b7201f8e8cda474b5aa240272745990507c33bc5098641c03f88f43
4,0,4,512,0,128,128,item.mythril_ore,Mythril Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,5ae6a755bbb2666af934e145355411eb07545512ee30e9d08912761ea6ad92c3
5,0,5,640,0,128,128,item.starsteel_ore,Starsteel Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,7615653c085df1acc72f81d43bf35a7cf8e58ebe402b8fe39ba302b24318b7b2
6,0,6,768,0,128,128,item.obsidian_ore,Obsidian Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,6f09dfb6db5afb5a5bfed2b7aadbb0f658c5e35a64d7d3596a6c2328550d4810
7,0,7,896,0,128,128,item.runite_ore,Runite Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,beb01727e7e015bdb27df3435828ca5b02376847a6730d5c9d6e5da1538dae1f
8,0,8,1024,0,128,128,item.dragonsteel_ore,Dragonsteel Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,b5001ecf6cef7d62efc475d7412f8da3fe767c7cb18ab59ab9442a2b53563f40
9,0,9,1152,0,128,128,item.aethersteel_ore,Aethersteel Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,d4b496eb77b311abe4573e63e8379b76871133787f086e5b51efb67ade1d14ed
10,1,0,0,128,128,128,item.voidiron_ore,Voidiron Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,6731683fb2ffe2f389fad6aea3e079faee8d2ccd0ce6825daf42e007a201cf0b
11,1,1,128,128,128,128,item.celestium_ore,Celestium Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,aa0c44c8ec161ffd9a3bcd2152bab20157feaa9e87cda24deb930fe5d5a63b72
12,1,2,256,128,128,128,item.bloodstone_ore,Bloodstone Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,abbbad689d1af32abd34bb5eccb28bad194d64ebee4ac7a01481b805a9c44f3e
13,1,3,384,128,128,128,item.moonsteel_ore,Moonsteel Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,0dd19c6cd2d1c8bba4553974aae0a32f759c11af8ab6107aee1f1c25d29ab3a8
14,1,4,512,128,128,128,item.sunforged_ore,Sunforged Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,888cf62f92951bd4d438fd33ba7295e23743510579db7199f104033bb53087b5
15,1,5,640,128,128,128,item.netherite_ore,Netherite Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,c25e312d1b672c738c79b27968d080d2021f9ec83de25a48a5775ee030d2297e
16,1,6,768,128,128,128,item.stormglass_ore,Stormglass Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,194344708adbca159fafe7b6fccd5a5d647c889ef58ce852fb9c87ecbeff73d8
17,1,7,896,128,128,128,item.kingssteel_ore,Kingssteel Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,3a0558ef8acc562a102fddb52e3bac7cba8c2ece889d38cbc069ef1015be93e7
18,1,8,1024,128,128,128,item.eternium_ore,Eternium Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,ffb658430bc7723e5c0728d8467a482bcfcde32d8e8d7f9cf75184dcf72ffc1e
19,1,9,1152,128,128,128,item.astralium_ore,Astralium Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,39c2e5e7af0c0b09313c4af4fa12eaa53246922e9994f307cff1e34b12abee65
20,2,0,0,256,128,128,item.gravite_ore,Gravite Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,a7bd078299892189852565ec74ecea78027db9f94d3dced0934e71d0e72a1e44
21,2,1,128,256,128,128,item.frostiron_ore,Frostiron Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,a4ec3001a4a4e1c658b4569a2ab2c8ec8adfbbf1a5740cae4e95699c263230a0
22,2,2,256,256,128,128,item.dusksteel_ore,Dusksteel Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,a12ac7880c34eaacf61e8f32539c69c2ef33d936db0b69fb09c6a9a92d5a11e3
23,2,3,384,256,128,128,item.titanium_ore,Titanium Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,65720abcb95bde8795c1e565fd5c7210fccc835f45a81851f5802811e35a41bf
24,2,4,512,256,128,128,item.skysteel_ore,Skysteel Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,4cf182264e2e25d424f8350c548910976d0e6bcb6763032c91fd27b0005952bd
25,2,5,640,256,128,128,item.emberium_ore,Emberium Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,f32d9758e7a8b880f51832a36effac48be5171e473713bde8e74b85a93f3ac45
26,2,6,768,256,128,128,item.soulsteel_ore,Soulsteel Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,dcfaaa74e2b3bc23d24caa8ea03fe0e03bc66016fca878c0e852f0022a04628d
27,2,7,896,256,128,128,item.chronite_ore,Chronite Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,1e6572a099b8ab3ee0d9f3defb116ec3ffc80efdfee1ca5356e59a74c576d932
28,2,8,1024,256,128,128,item.worldforge_ore,Worldforge Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,6f457de9e6c67c3aad4974634e4fe3941834c006999e3c9e7b499070da80d62a
29,2,9,1152,256,128,128,item.voidglass_ore,Voidglass Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,3601475c6a4a3aa36b8e965b168723f9e5b2f782d9c4d0b181d2fc94447341d6
30,3,0,0,384,128,128,item.thalassic_ore,Thalassic Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,900f6c28126d9b24dd628527c76ba1047ea11152fa3aa38bace2a2eed18c7298
31,3,1,128,384,128,128,item.ashspire_ore,Ashspire Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,c324f8993cd8eef62d220c42469e3d448e3e800de0ffdb965cb53af44185296b
32,3,2,256,384,128,128,item.glacirite_ore,Glacirite Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,82bb560600831c23b57ff104b9129889cea51797de708e1af69d02e52a3ec119
33,3,3,384,384,128,128,item.primordite_ore,Primordite Ore,resources.ore,False,1,supplied ore sheet / generated tier 33-34,22d554e7a23a509757187677e2cdb428ca42f6131d3d97c588bb50e190f3188b
34,3,4,512,384,128,128,item.copperbloom,Copperbloom,resources.plant,False,1,generated botanical family,0fcbbdcd8e8bc5d230c5483e66fe973bf4028469b50bed06983cef7fd8ebbfa6
35,3,5,640,384,128,128,item.ironleaf,Ironleaf,resources.plant,False,1,generated botanical family,a555cfe6490d7e03f07ffe0765f064085af49a2bbd01e3d30bb5ae204fba776c
36,3,6,768,384,128,128,item.silverroot,Silverroot,resources.plant,False,1,generated botanical family,4bfd2829d39aa8237969a6e889b76a4e2b4e54e691b82f0ff024bb3d53755d20
37,3,7,896,384,128,128,item.golden_mint,Golden Mint,resources.plant,False,1,generated botanical family,2f58cd9c2ca6e13f83f5932bf9d464b0e57e394d03f4c37b770170d46bc0c03c
38,3,8,1024,384,128,128,item.mythril_moss,Mythril Moss,resources.plant,False,1,generated botanical family,0eb9baa8f35c9ea7627d39e407fe425d11e3d36c38d2846371a3b275f4827771
39,3,9,1152,384,128,128,item.starpetal,Starpetal,resources.plant,False,1,generated botanical family,5e6188d9d0cad3b0731c410fe4b8f19bd2163a527c0e4f418239bf5983d4822f
40,4,0,0,512,128,128,item.obsidian_thorn,Obsidian Thorn,resources.plant,False,1,generated botanical family,962a14ba9efd10107e38dc204aa9892752ea26e076397dc07a21204d55a941d6
41,4,1,128,512,128,128,item.runebloom,Runebloom,resources.plant,False,1,generated botanical family,a064a0e217aeb1b15f4acf387c162af6d8fef0b0e275985dc71d2a98630f9e59
42,4,2,256,512,128,128,item.embersage,Embersage,resources.plant,False,1,generated botanical family,e1636ae7ab9f4cae9e89dbb7ff6a1bf71f577519cd5eb6c83b5c5970afd65fe1
43,4,3,384,512,128,128,item.aetherreed,Aetherreed,resources.plant,False,1,generated botanical family,57ef31c397e6a2e9fc60ba7f31683429fb9c076afc8c022fac5a9c4a94ee5e7b
44,4,4,512,512,128,128,item.void_fern,Void Fern,resources.plant,False,1,generated botanical family,f8cecd1854e7a40f90bfc732493dc40895e7bb9aece176ed95e9badab67f4a6b
45,4,5,640,512,128,128,item.sunblossom,Sunblossom,resources.plant,False,1,generated botanical family,04453e7b0db6cdc910768703077fd3294b6790cf6eab9557a8a6f9e6ac313800
46,4,6,768,512,128,128,item.bloodvine,Bloodvine,resources.plant,False,1,generated botanical family,3b60a381478d9278786dea355b0088da4105c382a53e2857e5fd6b9545a9737a
47,4,7,896,512,128,128,item.moonshade,Moonshade,resources.plant,False,1,generated botanical family,18704848c7a851b92bd58ed3c6fc94074ac75529f4efba148f1a20911c905fad
