item_id,name,category,subcategory,tier,group,art_source,shared_icon_key,index,row,column,x,y,width,height,original_r3_index,original_r2_index
copper_ore,Copper Ore,Resource,Raw material,1,resources.ore,supplied ore sheet / generated tier 33-34,,0,0,0,0,0,128,128,0,0
iron_ore,Iron Ore,Resource,Raw material,2,resources.ore,supplied ore sheet / generated tier 33-34,,1,0,1,128,0,128,128,1,1
silver_ore,Silver Ore,Resource,Raw material,3,resources.ore,supplied ore sheet / generated tier 33-34,,2,0,2,256,0,128,128,2,2
gold_ore,Gold Ore,Resource,Raw material,4,resources.ore,supplied ore sheet / generated tier 33-34,,3,0,3,384,0,128,128,3,3
mythril_ore,Mythril Ore,Resource,Raw material,5,resources.ore,supplied ore sheet / generated tier 33-34,,4,0,4,512,0,128,128,4,4
starsteel_ore,Starsteel Ore,Resource,Raw material,6,resources.ore,supplied ore sheet / generated tier 33-34,,5,0,5,640,0,128,128,5,5
obsidian_ore,Obsidian Ore,Resource,Raw material,7,resources.ore,supplied ore sheet / generated tier 33-34,,6,0,6,768,0,128,128,6,6
runite_ore,Runite Ore,Resource,Raw material,8,resources.ore,supplied ore sheet / generated tier 33-34,,7,0,7,896,0,128,128,7,7
dragonsteel_ore,Dragonsteel Ore,Resource,Raw material,9,resources.ore,supplied ore sheet / generated tier 33-34,,8,0,8,1024,0,128,128,8,8
aethersteel_ore,Aethersteel Ore,Resource,Raw material,10,resources.ore,supplied ore sheet / generated tier 33-34,,9,0,9,1152,0,128,128,9,9
voidiron_ore,Voidiron Ore,Resource,Raw material,11,resources.ore,supplied ore sheet / generated tier 33-34,,10,1,0,0,128,128,128,10,10
celestium_ore,Celestium Ore,Resource,Raw material,12,resources.ore,supplied ore sheet / generated tier 33-34,,11,1,1,128,128,128,128,11,11
bloodstone_ore,Bloodstone Ore,Resource,Raw material,13,resources.ore,supplied ore sheet / generated tier 33-34,,12,1,2,256,128,128,128,12,12
moonsteel_ore,Moonsteel Ore,Resource,Raw material,14,resources.ore,supplied ore sheet / generated tier 33-34,,13,1,3,384,128,128,128,13,13
sunforged_ore,Sunforged Ore,Resource,Raw material,15,resources.ore,supplied ore sheet / generated tier 33-34,,14,1,4,512,128,128,128,14,14
netherite_ore,Netherite Ore,Resource,Raw material,16,resources.ore,supplied ore sheet / generated tier 33-34,,15,1,5,640,128,128,128,15,15
stormglass_ore,Stormglass Ore,Resource,Raw material,17,resources.ore,supplied ore sheet / generated tier 33-34,,16,1,6,768,128,128,128,16,16
kingssteel_ore,Kingssteel Ore,Resource,Raw material,18,resources.ore,supplied ore sheet / generated tier 33-34,,17,1,7,896,128,128,128,17,17
eternium_ore,Eternium Ore,Resource,Raw material,19,resources.ore,supplied ore sheet / generated tier 33-34,,18,1,8,1024,128,128,128,18,18
